claim,label,prediction
Caesar is a 1937 adaptation of The Tempest.,0,0
Sebastian Vettel is a person.,1,1
A part of Saw (franchise) is a film.,1,1
Janet Leigh was incapable of writing.,0,0
Dakota Fanning was in film.,1,1
"Commercial sexual exploitation, as well as forced labor, are reasons for human trafficking.",1,1
A number of countries have shown an increased number in rates of endometrial cancer.,1,1
The Gifted is a television series.,1,1
Finding Dory was directed by an American.,1,1
Aleister Crowley was English.,1,1
Fist of Legend is a remake of another movie.,1,1
Home for the Holidays stars the grandchild of Charlie Chaplin,0,0
Yandex is an application.,0,0
Mandy Moore is a writer.,1,1
Birthday Song (2 Chainz song) was produced by a producer.,1,1
Aaron Burr was a department store that went out of business in the eighties.,0,0
"The United Nations Charter is the foundational treaty of the United Nations, signed in 1945.",1,1
Buffy the Vampire Slayer is unaffiliated with Joss Whedon.,0,0
Mount Hood is in Hawaii.,0,0
Sean Penn was in a movie.,1,1
Jenny McCarthy began her career in 1993.,1,1
Angela Bassett is alive and working in the 2010s.,1,1
Rio's sequel is a 2014 book.,0,0
Kendall Jenner is a model.,1,1
Johann Wolfgang von Goethe published Hermann and Dorothea.,1,1
Stripes had a person appear in it.,1,1
Hush (2016 film) was produced.,1,1
Brick (film) is a 2005 television show.,0,0
Adobe Photoshop is incapable of being a software.,0,0
José Ferrer won a Tony Award in 1909.,0,0
Tool has won three tanks.,0,0
Edouard Seguin worked in murdering.,0,0
Mud has Matthew McConaughey in its cast.,1,1
Billie Joe Armstrong is an American musician.,1,1
Team Fortress 2 is a movie.,0,0
Bethany Hamilton was a victim of a shark attack.,1,1
Japan is in Asia.,1,1
Dulquer Salmaan refused to ever become an actor.,0,0
No Country for Old Men is a cat-and-mouse drama.,1,1
"In Kentucky, the electric chair has been retired except for those whose capital crimes were committed prior to March 31, 1998, and who choose electrocution.",1,1
"Around the world, medical school vary in the nature of medical programs.",1,1
Heath Ledger won an award posthumously.,1,1
Don Bradman was an athlete.,1,1
Jonah Hill did not star in 21 Jump Street.,0,0
Recovery is an Eminem album.,1,1
The Raven (2012 film) was released in Chile.,0,0
Lockheed Martin is a car company.,0,0
Sheryl Lee has yet to appear in a film.,0,0
Aeneas appeared in an epic poem.,1,1
How to Train Your Dragon 2 used real dragons.,0,0
"Prescott, Arizona is outside of the United States.",0,0
Superhuman abilities may result from human enhancement by genetic modification.,1,1
Petyr Baelish is not a real character.,1,1
Annie Lenox has released released zero albums.,0,0
Lee Daniels directed a film.,1,1
Fidel Castro was a person.,1,1
The Mighty Ducks was produced by an American film producer.,1,1
Bonaire is excluded from the three BES islands in the Caribbean.,0,0
Starrcade was an annual professional wrestling event.,1,1
Mandy Moore is part of the music industry.,1,1
Aparshakti Khurana is an actor.,1,1
The Book of Mormon won a Tony Award for Best Musical.,1,1
Britt Robertson is an actress.,1,1
Temple Mount has nothing to do with an Abrahamic religion.,0,0
French Indochina was only in Northeast Asia.,0,0
Benzodiazepine is a genre of music.,0,0
Carol Danvers is a fictional character.,1,1
The Premier League Asia Trophy is a tournament held in Asia.,1,1
The Romani people have migrated.,1,1
Tenacious D is an American duo.,1,1
Christian Gottlob Neefe was only a train conductor.,0,0
Floyd Mayweather Jr. is incapable of boxing.,0,0
Scaramouche is the only name used to refer to the character.,0,0
"DJ Quik was conceived on January 22nd, 1970.",0,0
Tottenham Hotspur F.C. is a football club.,1,1
Sensitive Skin's first series aired only on SBS TV.,0,0
"Phoenix, Arizona is in southwestern Mexico.",0,0
Tangled is an audio book.,0,0
AMGTV does not have drama television programming.,0,0
The Bee Gees were producers of music.,1,1
Carol Danvers appears only in comic books published by DC.,0,0
Nawaz Sharif has no record in politics.,0,0
Taran Killam is a person.,1,1
Johann Wolfgang von Goethe failed to publish Wilhelm Meister's Apprenticeship.,0,0
Carlos Santana was born in the fifties.,0,0
Solanum contains plants with couches.,0,0
The Saw franchise grossed over $800 million.,1,1
Efraim Diveroli had no relation to the arms industry.,0,0
Gordon Ramsay has not hired chefs.,0,0
Sidse Babett Knudsen refuses to be an actress.,0,0
"Jean-Jacques Dessalines graduated college on September 20th, 1758.",0,0
Croatia is incapable of rendering services.,0,0
The Monster only features guest vocals from Drake.,0,0
"Camden, New Jersey is a city.",1,1
The X-Files starred an actress.,1,1
Matteo Renzi served as Prime Minister of Italy.,1,1
Danny Brown is incapable of being a musician.,0,0
Sally Hawkins ignored the offer to act in Cate Blanchett.,0,0
French Indochina was a grouping of French colonial territories in Southeast Asia in 1996.,0,0
The Hindu Kush refers only to a strain of marijuana.,0,0
Ukrainian Soviet Socialist Republic was in the UN.,1,1
Celebrity Rehab with Dr. Drew was only ever called by that name.,0,0
The cinematography of Far from the Madding Crowd was by at least one cinematographer.,1,1
Dakota Fanning is incapable of being in film roles.,0,0
Ronaldinho has scored 33 goals for the Brazil national football team.,1,1
The Paper stars Marisa Tomei.,1,1
Ernest Medina participated in the My Lai Massacre.,1,1
The Road to El Dorado stars an actor.,1,1
Kentucky inmates who do not choose electrocution and inmates who committed their crimes after the designated date are put to death by lethal injection instead of the electric chair.,1,1
The horse has shrunk in size as it evolved.,0,0
Moscovium is a transactinide element.,1,1
Eurotas (river) is one of the major rivers of Peloponnese.,1,1
"Cary Elwes was born in Russia, lives in Russia, and has exclusively Russian heritage.",0,0
Battle of the Bastards is a television episode.,1,1
The Faroe Islands were part of the Hereditary Kingdom of Norway between 1035 and 1814.,1,1
I Kissed a Girl is a work of music.,1,1
Mandy Moore had a career.,1,1
CHiPs is exclusively a German film.,0,0
The Bahamas is a country.,1,1
Omar Khadr was sentenced.,1,1
Shane McMahon worked for WWE.,1,1
Creedence Clearwater Revival was informally abbreviated.,1,1
Weill Cornell Medicine is a biomedical unit of measurement.,0,0
Camp Flog Gnaw was created by musicians.,1,1
Adobe Photoshop is incapable of being part of the Adobe Systems.,0,0
Raven-Symoné refuses to be a singer.,0,0
The Office (US) ran for seasons.,1,1
Marcus Bentley is from Australia.,0,0
Youtube has been ranked by a company.,1,1
Meteora is by Linkin Park.,1,1
"Fidel Castro transferred, to his brother, his responsibilities.",1,1
Chest pain is one symptom of pulmonary embolism.,1,1
Dakota Fanning is American.,1,1
Jennifer Lopez created a studio record.,1,1
Chris Benoit is Canadian.,1,1
Prague's historic center was never included in the UNESCO list of World Heritage Sites.,0,0
The White House Press Secretary is a senior White House official.,1,1
Congressional Space Medal of Honor is awarded by the First Lady.,0,0
The Hunchback of Notre Dame features a character.,1,1
Benjamin Franklin was a person.,1,1
Kenneth Lonergan is a person who directs movies.,1,1
Alvin and the Chipmunks is a Chinese film.,0,0
See You on the Other Side was certified platinum in March 2016.,0,0
"Palo Alto, California is located only outside of Santa Clara County.",0,0
Michael Hutchence has yet to die.,0,0
Eva Green made her film debut in a film directed by Robin Williams.,0,0
Melilla is located on the north coast of Antarctica.,0,0
Veeru Devgan choreographs stunts.,1,1
Home for the Holidays stars a famous American actor.,1,1
Bones is a television series.,1,1
Earl Scruggs's maiden name is Eugene.,0,0
The Fame was released in February 2016.,0,0
Emma Watson was killed in 1990.,0,0
The Faroe Islands have not been part of the Hereditary Kingdom of Norway since 1814.,1,1
Spider-Man 2 is a TV series.,0,0
Tenacious D started in Texas.,0,0
Wolfgang Amadeus Mozart was a wrestler.,0,0
Northwestern University is the only private college of the Big Ten Conference.,1,1
Bad Romance was a flop.,0,0
Despicable Me 2 was directed by Quentin Tarantino.,0,0
Noah Cyrus is a younger sister of Miley Cyrus.,1,1
Jens Stoltenberg lost every election he has ever ran in.,0,0
The cinematography of Far from the Madding Crowd was by an English film critic.,0,0
Color of Night was released in 1994.,1,1
Tottenham Hotspur F.C. is a football club.,1,1
Guillermo del Toro was born.,1,1
Guns N' Roses is an American hard rock restaurant.,0,0
Mad Max: Fury Road was released in the 21st century.,1,1
The Bassoon King is fiction.,0,0
"Pink's birthday was September 8, 1979.",1,1
Baz Luhrmann only has films from 2007.,0,0
Cary Elwes is Irish.,0,0
Raja Hindustani is a tower in France.,0,0
"In 2016, Sausage Party was released.",1,1
The Gifted fails to be a television series.,0,0
Chris Benoit is immortal.,0,0
"Gray Matter Interactive Studios, Inc. was founded before 1990.",0,0
Linkin Park has only released one album to date.,0,0
Liverpool is in the United States.,0,0
Daenerys Targaryen was introduced in A Feast for Crows.,0,0
The American Civil War lasted 4 years.,1,1
Mercedes-Benz is a division of a German company.,1,1
Live Through This has been sold in the United States.,1,1
Personality is unaffected by the development of skills.,0,0
No Country for Old Men was chosen as the highest acclaimed of 2007 by the National Board of Review.,1,1
Matches were contested at SummerSlam.,1,1
One True Thing was directed by a child.,0,0
Daredevil was not produced by Marvel Television.,0,0
Uganda is in space.,0,0
The Indian Army is a military force.,1,1
Scandal is from 1987.,0,0
Tom Baker has narrated a type of digital entertainment.,1,1
Gin is a drink.,1,1
Advertising is a personal message.,0,0
Middle-earth is a book.,0,0
James VI and I was a person.,1,1
Tiber Oil Field is operated by Pfizer.,0,0
Libya is a country in Europe.,0,0
Colombiana is a French sandwich.,0,0
Chris Mullin played with a team who play basketball professionally.,1,1
"Camden, New Jersey is a country.",0,0
The White House Press Secretary is a senior White House official.,1,1
Valencia is in the country of Spain.,1,1
The Fly was first released in 1999.,0,0
Jeb Bush's father is Barbara Bush.,0,0
The last windstorm in Stanley Park was in 2016.,0,0
Sabbir Khan directed a film starring an Indian actress.,1,1
Elizabeth of York's father was Edward II.,0,0
Byron Howard co-directed Zootopia with Jill Stein.,0,0
Azithromycin is only available under a brand name.,0,0
The Nice Guys was released in 2010.,0,0
Liverpool is in the United States.,0,0
"The Africa Cup of Nations is the football championship of Africa, founded in 1984.",0,0
Eurotas (river) is one of the major rivers of Peloponnese.,1,1
The Fame came out in 2017.,0,0
Harold Macmillan was a fish.,0,0
The Silver Surfer is a fictional super villain.,0,0
Babur was a conqueror.,1,1
The horse was domesticated on a broad scale by 3103 BC.,0,0
Regina King is an actress.,1,1
"Franchising is regulated in thirty-three countries, including Australia and the United States.",1,1
Yves Saint Laurent makes clothes.,1,1
A Milli is an album.,0,0
Pink is a squid.,0,0
Deepika Padukone has only been in one Indian film.,0,0
Rage Against the Machine performed at live venues and festivals up until 2011.,1,1
The Quran is a WWE wrestler..,0,0
Rick Ross had nothing to do with the Maybach Music Group.,0,0
Guillermo del Toro is German.,0,0
Harris Jayaraj came into the world in January of 1975.,1,1
Amyotrophic lateral sclerosis only starts around the age of 70,0,0
The Ellen Show refused to include Ellen DeGeneres in its cast.,0,0
PBS is a distributor.,1,1
Menace II Society is set in the 1990s.,1,1
Battle of the Bastards is an episode.,1,1
Arjit Singh is male.,1,1
Queen (band) is from the capital of Massachusetts.,0,0
New Orleans Pelicans compete in the National Football Association.,0,0
Al Jardine cannot sing.,0,0
The Bahamas is an internationally recognized state that comprises a series of landlocked areas that form an archipelago.,0,0
Granite is a rock.,1,1
The Battle of France happened during World War II.,1,1
The Siege of Fort Stanwix began.,1,1
"Boyhood is about Mason Evans, Jr's childhood.",1,1
Regina King is an actress.,1,1
Islamabad failed to become a city.,0,0
Michael B. Jordan died in 1987.,0,0
There are zero Polynesian languages.,0,0
The Times is a newspaper.,1,1
Daenerys Targaryen appeared for the first time in the third novel in the Song of Ice and Fire series.,0,0
The Monster is a work of art.,1,1
Liverpool is in the United Kingdom.,1,1
Edgar Wright is a person who directs.,1,1
Reign Over Me is a comedy film.,0,0
Temple Grandin is a biographical film from 2010.,1,1
Josh Hutcherson was in a managerial position at a finance company.,0,0
